"card_id","priority","related_rules","coverage_disposition","witness","proposed_control","source_ids","execution_status"
"SL-001","P0","DS-002, DS-003","Existing rule family; retain as a regression anchor","One key appears twice in A and three times in B, with distinct non-key column names. The documented match-merge produces three rows; an equijoin produces six. Compare row content as well as count.","Validate key multiplicity and source order before choosing a target join. Do not call pandas validate='many_to_many' a cardinality check: that setting permits the case without checking uniqueness.","S01;T01","DESIGN_ONLY_NOT_RUN"
"SL-002","P0","DS-019, SQL-001","Existing family; engine-specific combinations need explicit scope","Join tables containing ordinary missing keys, different special-missing tags, zero, and a negative value. Separately test a missing value as an IF condition and as a relational operand.","Write separate contracts for truth, ordering, equality, grouping, and joins. Retain missing tags until the consumer's policy is chosen. Avoid the blanket claim that all missing comparisons are false.","S08;T01;T03","DESIGN_ONLY_NOT_RUN"
"SL-003","P0","DS-006; program execution model","Existing primitives; whole-step composition needs validation","Use a one-row lookup read only when _N_=1, then process three observations from a second input. The lookup value should remain available on later iterations; a scratch assignment without retention needs a separate expectation.","Model variable origin, initialization, step boundaries, and reset points. Validate conditional SET separately from a dataframe join or a global dictionary.","S05","DESIGN_ONLY_NOT_RUN"
"SL-004","P0","DS-005, DS-006","Adjacent coverage; explicit filter-order witness proposed","For one group with rows keep=0 then keep=1, compare WHERE keep=1 followed by FIRST.key with subsetting IF keep=1 followed by FIRST.key. Only the WHERE version makes the surviving row the first row of its filtered group.","Preserve the sequence of input selection, group formation, state changes, and output. Do not push a filter upstream merely as an optimization.","S03","DESIGN_ONLY_NOT_RUN"
"SL-005","P0","Program execution model; DS-006 adjacent","Dedicated output-cardinality fixture proposed","A single iteration assigns x=4, outputs, assigns x=9, and outputs again. Expect two rows, 4 and 9, with no additional automatic row. A conditionally skipped OUTPUT may yield no row.","Represent output as an event, not a final dataframe snapshot. Compare destination datasets, emission order, row multiplicity, and values at each output point.","S06","DESIGN_ONLY_NOT_RUN"
"SL-006","P0","DS-015, DS-018 adjacent","Existing text family; transcoding and schema-order frontier","Assign a short literal before a longer literal, then repeat with a declared length before the first assignment. Separately test multibyte text during encoding conversion with a fixed storage width.","Capture type, length, encoding, declaration order, and truncation behavior. Do not silently widen columns while claiming exact legacy behavior; classify widening as a deliberate correction if desired.","S04;S24","DESIGN_ONLY_NOT_RUN"
"SL-007","P0","DS-007","Corrected rule and target gate exist; expand composition cases","On values 10,20,30,40, invoke one LAG occurrence only on rows two and four. Expected returns at those invocations are missing and 20, rather than 10 and 30 from an unconditional shift.","Distinguish conditional invocation from conditional use of an unconditional result. Include two independent occurrences, missing arguments, LAG2, and explicit group reset logic in the next fixtures.","S02","DESIGN_ONLY_NOT_RUN"
"SL-008","P0","DS-008","Existing family; explicit ordering and engine conditions remain necessary","Give two equal keys different payloads, then reverse input order. Under explicit EQUALS the retained payload should follow the first input row. Repeat with the actual input engine rather than assuming its read order.","Pin BY order, EQUALS/NOEQUALS, collation, and tie-breakers. Compare retained row identities, not just the number of unique keys.","S09","DESIGN_ONLY_NOT_RUN"
"SL-009","P0","SQL-002","Existing rule; downstream row-count consequences need end-to-end witnesses","For two rows in a group with values 2 and 6, select the group, the detail value, and its group mean. A remerge can retain two rows with a mean of 4 on each.","Translate the documented shape with a window operation or aggregate-plus-join after checking nulls and duplicates. Adding a detail column to GROUP BY can change the statistic rather than repair it.","S07","DESIGN_ONLY_NOT_RUN"
"SL-010","P1","DS-009","Duplicate handling corrected; naming collisions and missing IDs are expansion targets","Choose two distinct raw IDs that format to the same label, then values whose normalized output names collide. Test with and without LET and include a missing ID.","Validate names after formatting and normalization. Do not replace duplicate handling with an averaging pivot. Compare schema, selected value, warning status, and row loss.","S10","DESIGN_ONLY_NOT_RUN"
